sp1,sp2,sp3,sp4,sp5,nsp1,nsp2,nsp3,nsp4,nsp5
1,0.900370406,0.806256716,0.801332296,0.892467802,1,0.737680909,0.68384621,0.870918405,0.537220703
NA,0.099629594,0.104271673,0.154128395,0.0795051,NA,0.262319091,0.309832585,0.071755058,0.329484739
NA,NA,0.08947161,0.043829627,0.020447145,NA,NA,0.006321205,0.044798979,0.069965531
NA,NA,NA,0.000709682,0.005502135,NA,NA,NA,0.012527558,0.045193602
NA,NA,NA,NA,0.002077818,NA,NA,NA,NA,0.018135425
