pop1,pop2,fst,distance_km,tave_prism_diff,ppt_spring_prism_diff
MC,BI,0.154645583,567.9512648,1.061318051,20.29327587
BM,BK,0.033282917,337.1388949,0.782234957,12.84724138
BN,BK,0.034507499,331.5557543,0.725787966,12.45568966
BO,BK,0.040278186,266.495832,0.589111747,3.39258621
BR,BK,0.028029736,320.6378261,0.16790831,13.12784483
CH,BK,0.030371992,246.3891277,0.912893982,2.43112069
H2,BK,0.072574044,560.7831429,0.441547278,20.95732759
LG,BK,0.057689488,500.9096861,2.398280802,20.35672414
MC,BK,0.066813695,566.792773,0.877077363,19.77732759
BN,BM,0.023189025,8.600639313,0.056446991,0.39155172
BO,BM,0.065985081,114.7641876,1.371346704,16.23982759
BR,BM,0.021486089,20.39229348,0.614326647,0.28060345
CH,BM,0.061936448,276.0245681,1.695128939,15.27836207
H2,BM,0.153308472,472.250414,1.223782235,8.11008621
LG,BM,0.146608872,593.854808,3.180515759,7.50948276
MC,BM,0.153877548,467.0416746,1.65931232,6.93008621
BO,BN,0.064096387,106.2005943,1.314899713,15.84827587
BR,BN,0.023715871,12.22612437,0.557879656,0.67215517
CH,BN,0.057825225,276.9128406,1.638681948,14.88681035
H2,BN,0.160236443,478.3708847,1.167335244,8.50163793
LG,BN,0.14548575,596.3484251,3.124068768,7.90103448
MC,BN,0.168361417,473.3765384,1.602865329,7.32163793
BR,BO,0.050225924,94.66956698,0.757020057,16.52043104
CH,BO,0.070202351,298.778613,0.323782235,0.96146552
H2,BO,0.158996437,552.8893729,0.147564469,24.3499138
LG,BO,0.159027114,626.5807021,1.809169055,23.74931035
MC,BO,0.166410693,550.4273124,0.287965616,23.1699138
CH,BR,0.043321626,273.5874464,1.080802292,15.55896552
H2,BR,0.142741006,483.0667487,0.609455588,7.82948276
LG,BR,0.123552483,595.0736761,2.566189112,7.22887931
MC,BR,0.145555096,478.4747346,1.044985673,6.64948276
H2,CH,0.083792583,315.1637932,0.471346704,23.38844828
LG,CH,0.090182644,327.8636526,1.48538682,22.78784483
MC,CH,0.090474288,320.5926299,0.035816619,22.20844828
LG,H2,0.146440377,287.783983,1.956733524,0.60060345
MC,H2,0.019233958,17.81947046,0.435530085,1.18
MC,LG,0.159517699,305.4368199,1.521203439,0.57939655
