pop1,pop2,fst,distance_km,tave_prism_diff,ppt_spring_prism_diff
AQ,AD,0.116294435,37.2032022,0.638681948,5.60215517
AR,AD,0.131631202,325.7544109,1.442406876,22.3887931
AS,AD,0.132711532,327.3785775,1.376217765,25.78568965
AT,AD,0.145517318,310.5124083,2.422636103,10.09793103
AV,AD,0.080383786,60.71239109,0.943266475,12.2975
AX,AD,0.248179668,372.566082,2.385100286,16.87482759
AY,AD,0.089035174,61.37803894,0.475931232,15.8387931
AZ,AD,0.103132487,266.9594086,1.211174785,17.45155172
BA,AD,0.065793884,28.0147929,0.538108883,5.06810345
BB,AD,0.023204842,8.789876464,1.071060172,5.42198276
BC,AD,0.050896447,29.12362503,1.316332379,6.76844828
BD,AD,0.050887348,40.97198448,0.475644699,10.49474138
BE,AD,0.132971593,426.913605,0.70773639,11.5837069
BF,AD,0.147606675,316.0179711,0.656160458,27.86896552
BG,AD,0.1575087,476.6470821,0.87277937,20.54862069
BH,AD,0.153974812,452.3181663,0.302865329,15.61146552
BI,AD,0.101616527,250.2266523,0.410028653,14.32982759
BK,AD,0.04235217,363.5702488,0.594269341,13.81387931
BM,AD,0.059316733,60.3970311,0.187965616,0.96663793
BN,AD,0.064476774,56.9334797,0.131518625,1.35818965
BO,AD,0.084462827,107.3802323,1.183381088,17.20646552
BR,AD,0.055818309,59.05406126,0.426361031,0.68603448
CH,AD,0.074567636,332.6282613,1.507163323,16.245
H2,AD,0.195484344,530.1730115,1.035816619,7.14344828
LG,AD,0.171948891,653.2286615,2.992550143,6.54284483
MC,AD,0.198475751,524.3475071,1.471346704,5.96344828
AP,AO,0.073826157,13.67385267,0.126934098,2.5950862
AQ,AO,0.185770765,100.1768962,1.358452722,12.75982758
AR,AO,0.149094273,296.3054968,0.554727794,15.23112069
AS,AO,0.148213287,300.1466775,0.620916905,18.62801724
AT,AO,0.158215016,266.9219298,0.425501433,2.94025862
AV,AO,0.066546896,3.189489498,1.053868195,5.13982759
AX,AO,0.265786221,353.5517036,0.387965616,9.71715518
AY,AO,0.081074938,19.90868723,2.473065902,8.68112069
AZ,AO,0.119864922,223.2026131,0.785959885,10.29387931
BA,AO,0.09547303,42.27752241,2.535243553,2.08956896
BB,AO,0.12910106,58.00548798,3.068194842,1.73568965
BC,AO,0.093908129,47.11739978,3.313467049,0.38922413
BD,AO,0.086543483,22.80729483,1.521489971,3.33706897
BE,AO,0.141636809,368.4978772,2.70487106,4.42603449
BF,AO,0.153996789,260.1211749,1.340974212,20.71129311
BG,AO,0.171968543,418.1024174,2.86991404,13.39094828
BH,AO,0.160106679,392.6226107,1.694269341,8.45379311
BI,AO,0.108398627,187.0974522,1.587106017,7.17215518
BK,AO,0.050078978,302.6911495,1.402865329,6.6562069
BM,AO,0.089717875,75.18917006,2.185100286,6.19103448
BN,AO,0.095308991,66.68133969,2.128653295,5.79948276
BO,AO,0.087112113,44.85175085,0.813753582,10.04879311
BR,AO,0.078481488,56.7873584,1.570773639,6.47163793
CH,AO,0.08594907,301.9220935,0.489971347,9.08732759
H2,AO,0.214945161,534.1688581,0.961318051,14.30112069
LG,AO,0.182006332,628.6325332,0.995415473,13.70051724
MC,AO,0.225320345,530.3956158,0.525787966,13.12112069
